Time (s),Altitude (m),Velocity (m/s),Acceleration (m/s²),G-force
113,46176.75132822686,-156.10588935391934,-9.815561801652066,1.0005669522581107
114,46010.82898088338,-165.9223473434796,-9.816457989560252,1.000658306784939
115,45835.08918491809,-175.7397959652875,-9.817448621807896,1.0007592886654328
116,45649.530847204966,-185.55833771312803,-9.818541747840538,1.0008707184343055
117,45454.15276316822,-195.3780840367488,-9.819746323620762,1.0009935090337168
118,45248.95360682681,-205.1991563414036,-9.821072304654828,1.0011286752961088
119,45033.93191973489,-215.0216870919234,-9.822530750519817,1.0012773445993697
120,44809.08609870068,-224.84582103420382,-9.824133942280406,1.001440768835923
121,44574.41438215211,-234.67171654857847,-9.825895514374645,1.0016203378567425
122,44329.91483500076,-244.49954715134348,-9.827830602765001,1.0018175945733945
123,44075.58533183802,-254.32950316274204,-9.829956011398552,1.0020342519264578
124,43811.42353827597,-264.16179356204526,-9.832290399303217,1.0022722119575145
125,43537.42689022296,-273.99664805301614,-9.834854490970905,1.0025335872549341
126,43253.59257085689,-283.8343193660662,-9.83767131305009,1.0028207250815584
127,42959.917485030026,-293.67508582686287,-9.840766460796647,1.0031362345358457
128,42656.39823080494,-303.5192542250853,-9.844168398222479,1.003483017148061
129,42343.031067783406,-313.3671630215313,-9.847908796445997,1.0038643013706419
130,42019.81188184647,-323.21918593693135,-9.852022915400036,1.004283681488281
131,41686.73614587473,-333.07573597173626,-9.856550034804917,1.0047451615499405
132,41343.79887596181,-342.9372699129211,-9.861533941184877,1.0052532050137488
133,40990.99458257017,-352.8042933916357,-9.867023478714597,1.0058127908985317
134,40628.317216005686,-362.6773665644891,-9.873073172853385,1.006429477355085
135,40255.76010550411,-372.5571105015754,-9.87974393708626,1.0071094737090989
136,39873.31589112786,-382.44421437625294,-9.887103874677587,1.0078597221893564
137,39480.97644756241,-392.339443565448,-9.895229189195044,1.0086879907436335
138,39078.73279877724,-402.24364878517656,-9.904205219728585,1.0096029785656049
139,38666.57502237279,-412.1577764044459,-9.914127619269332,1.0106144362150185
140,38244.49214227065,-422.0828801021446,-9.925103697698745,1.0117333025177109
141,37812.47200821415,-432.02013405649956,-9.937253954354935,1.0129718607905132
142,37370.50116032836,-441.9708478857954,-9.95071382929588,1.0143439173594169
143,36918.56467673527,-451.93648359309236,-9.965635707296917,1.0158650058406642
144,36456.646001927715,-461.91867480755144,-9.982191214459094,1.0175526212496528
145,35984.7267532659,-471.919248661811,-10.000573854259565,1.0194264887114746
146,35502.786502565905,-481.94025069999475,-10.02100203818371,1.0215088723938541
147,35010.802529289875,-491.9839732760322,-10.043722576037467,1.0238249312984167
148,34508.749541310826,-502.052987979049,-10.069014703016798,1.0264031297672576
149,33996.59935859671,-512.1501827141199,-10.097194735070874,1.029275712035767
150,33474.32055442097,-522.2788041757378,-10.128621461618014,1.032479251948829
151,32941.878047839244,-532.44250658173,-10.163702405992158,1.036055291130699
152,32399.232640147467,-542.6454076917756,-10.202901110045666,1.0400510815540942
153,31846.34048682439,-552.8921533230773,-10.24674563130165,1.0445204517127062
154,31283.152495020848,-563.1879918035412,-10.295838480463928,1.0495248196191567
155,30709.61363494138,-573.5388600794695,-10.350868275928343,1.0551343808285774
156,30125.662151409153,-583.9514835322263,-10.412623452756876,1.061429505887551
157,29531.2286594372,-594.4334919719497,-10.482008439723375,1.0685023893703745
158,28926.235104651336,-604.9935547858672,-10.560062813917554,1.076459002438079
159,28310.593565801642,-615.6415388496946,-10.647984063827389,1.0854214132341884
160,27684.204872205373,-626.3886935962673,-10.747154746572715,1.095530555206189
161,27046.95700358565,-637.2478686197242,-10.859175023456821,1.1069495436755168
162,26398.723233151588,-648.2337704340596,-10.985901814335458,1.1198676671086094
163,25739.359966572832,-659.3632665787546,-11.129496144695079,1.1345052135265115
164,25068.704219297866,-670.6557472749656,-11.29248069621095,1.1511193370245616
165,24386.570661874324,-682.1335574235421,-11.477810148576504,1.1700112281933235
166,23692.748146781905,-693.8225150924183,-11.688957668876144,1.1915349305684142
167,22986.995609752215,-705.7525370296902,-11.93002193727197,1.2161082504864393
168,22269.03721222457,-717.9583975276429,-12.205860497952749,1.2442263504538988
169,21538.556557555024,-730.4806546695472,-12.522257141904314,1.276478811611041
170,20795.189769203465,-743.3667883515582,-12.88613368201096,1.313571221407845
171,20038.51716065657,-756.6726085468956,-13.305820195337429,1.3563527212372506
172,19268.0531490413,-770.4640116152681,-13.791403068372466,1.4058514850532584
